127.0.0.1 - - [17/Jul/2022:15:25:29 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [17/Jul/2022:15:25:31 +0900] "GET /BBS/index.jsp HTTP/1.1" 200 282
0:0:0:0:0:0:0:1 - - [17/Jul/2022:15:25:31 +0900] "GET /BBS/css/custom.css HTTP/1.1" 200 208
0:0:0:0:0:0:0:1 - - [17/Jul/2022:15:25:31 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 3205
0:0:0:0:0:0:0:1 - - [17/Jul/2022:15:25:31 +0900] "GET /BBS/%EC%82%AC%EC%A7%84%20%EA%B2%BD%EB%A1%9C/%EC%A3%BC%EC%86%8C HTTP/1.1" 404 877
0:0:0:0:0:0:0:1 - - [17/Jul/2022:15:25:31 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 200 146010
0:0:0:0:0:0:0:1 - - [17/Jul/2022:15:25:31 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 200 69707
0:0:0:0:0:0:0:1 - - [17/Jul/2022:15:28:30 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 2980
0:0:0:0:0:0:0:1 - - [17/Jul/2022:15:28:43 +0900] "POST /BBS/joinAction.jsp HTTP/1.1" 200 289
0:0:0:0:0:0:0:1 - - [17/Jul/2022:15:29:02 +0900] "POST /BBS/joinAction.jsp HTTP/1.1" 200 250
0:0:0:0:0:0:0:1 - - [17/Jul/2022:15:30:02 +0900] "GET /BBS/index.jsp HTTP/1.1" 200 282
0:0:0:0:0:0:0:1 - - [17/Jul/2022:15:30:02 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 3163
0:0:0:0:0:0:0:1 - - [17/Jul/2022:15:30:02 +0900] "GET /BBS/%EC%82%AC%EC%A7%84%20%EA%B2%BD%EB%A1%9C/%EC%A3%BC%EC%86%8C HTTP/1.1" 404 877
0:0:0:0:0:0:0:1 - - [17/Jul/2022:15:30:07 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 3665
0:0:0:0:0:0:0:1 - - [17/Jul/2022:15:30:08 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 3163
0:0:0:0:0:0:0:1 - - [17/Jul/2022:15:30:08 +0900] "GET /BBS/%EC%82%AC%EC%A7%84%20%EA%B2%BD%EB%A1%9C/%EC%A3%BC%EC%86%8C HTTP/1.1" 404 877
0:0:0:0:0:0:0:1 - - [17/Jul/2022:15:30:16 +0900] "GET /BBS/logoutAction.jsp HTTP/1.1" 200 240
0:0:0:0:0:0:0:1 - - [17/Jul/2022:15:30:16 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 3205
0:0:0:0:0:0:0:1 - - [17/Jul/2022:15:30:16 +0900] "GET /BBS/%EC%82%AC%EC%A7%84%20%EA%B2%BD%EB%A1%9C/%EC%A3%BC%EC%86%8C HTTP/1.1" 404 877
0:0:0:0:0:0:0:1 - - [17/Jul/2022:15:30:19 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2229
0:0:0:0:0:0:0:1 - - [17/Jul/2022:15:30:24 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 245
0:0:0:0:0:0:0:1 - - [17/Jul/2022:15:30:25 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 3163
0:0:0:0:0:0:0:1 - - [17/Jul/2022:15:30:25 +0900] "GET /BBS/%EC%82%AC%EC%A7%84%20%EA%B2%BD%EB%A1%9C/%EC%A3%BC%EC%86%8C HTTP/1.1" 404 877
0:0:0:0:0:0:0:1 - - [17/Jul/2022:15:30:27 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 3665
0:0:0:0:0:0:0:1 - - [17/Jul/2022:15:30:45 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 3707
0:0:0:0:0:0:0:1 - - [17/Jul/2022:15:30:45 +0900] "GET /BBS/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jul/2022:15:30:45 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jul/2022:15:30:45 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jul/2022:15:30:45 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [17/Jul/2022:16:32:14 +0900] "GET /BBS/logoutAction.jsp HTTP/1.1" 200 240
0:0:0:0:0:0:0:1 - - [17/Jul/2022:16:32:14 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 3205
0:0:0:0:0:0:0:1 - - [17/Jul/2022:16:32:14 +0900] "GET /BBS/%EC%82%AC%EC%A7%84%20%EA%B2%BD%EB%A1%9C/%EC%A3%BC%EC%86%8C HTTP/1.1" 404 877
0:0:0:0:0:0:0:1 - - [17/Jul/2022:16:32:18 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2229
0:0:0:0:0:0:0:1 - - [17/Jul/2022:16:32:24 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 245
0:0:0:0:0:0:0:1 - - [17/Jul/2022:16:32:24 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 3163
0:0:0:0:0:0:0:1 - - [17/Jul/2022:16:32:24 +0900] "GET /BBS/%EC%82%AC%EC%A7%84%20%EA%B2%BD%EB%A1%9C/%EC%A3%BC%EC%86%8C HTTP/1.1" 404 877
0:0:0:0:0:0:0:1 - - [17/Jul/2022:16:32:43 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 3665
0:0:0:0:0:0:0:1 - - [17/Jul/2022:16:33:00 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 3707
0:0:0:0:0:0:0:1 - - [17/Jul/2022:16:33:05 +0900] "GET /BBS/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [17/Jul/2022:16:33:17 +0900] "GET /BBS/view.jsp?bbsID=15 HTTP/1.1" 200 2505
0:0:0:0:0:0:0:1 - - [17/Jul/2022:16:33:17 +0900] "GET /BBS/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [17/Jul/2022:16:34:23 +0900] "GET /BBS/view.jsp?bbsID=15 HTTP/1.1" 200 2505
0:0:0:0:0:0:0:1 - - [17/Jul/2022:16:34:23 +0900] "GET /BBS/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [17/Jul/2022:16:35:35 +0900] "GET /BBS/view.jsp?bbsID=15 HTTP/1.1" 200 2505
0:0:0:0:0:0:0:1 - - [17/Jul/2022:16:36:22 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 3205
0:0:0:0:0:0:0:1 - - [17/Jul/2022:16:36:22 +0900] "GET /BBS/%EC%82%AC%EC%A7%84%20%EA%B2%BD%EB%A1%9C/%EC%A3%BC%EC%86%8C HTTP/1.1" 404 877
0:0:0:0:0:0:0:1 - - [17/Jul/2022:16:36:24 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 3707
0:0:0:0:0:0:0:1 - - [17/Jul/2022:16:36:25 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 3707
0:0:0:0:0:0:0:1 - - [17/Jul/2022:16:36:33 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 3205
0:0:0:0:0:0:0:1 - - [17/Jul/2022:16:36:33 +0900] "GET /BBS/%EC%82%AC%EC%A7%84%20%EA%B2%BD%EB%A1%9C/%EC%A3%BC%EC%86%8C HTTP/1.1" 404 877
0:0:0:0:0:0:0:1 - - [17/Jul/2022:16:36:34 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 3707
0:0:0:0:0:0:0:1 - - [17/Jul/2022:16:36:42 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 3707
0:0:0:0:0:0:0:1 - - [17/Jul/2022:16:36:47 +0900] "GET /BBS/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [17/Jul/2022:16:37:01 +0900] "GET /BBS/bbs.jsp?pageNumber=2 HTTP/1.1" 200 3148
0:0:0:0:0:0:0:1 - - [17/Jul/2022:16:37:01 +0900] "GET /BBS/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [17/Jul/2022:16:37:03 +0900] "GET /BBS/write.jsp HTTP/1.1" 200 2365
0:0:0:0:0:0:0:1 - - [17/Jul/2022:16:37:03 +0900] "GET /BBS/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [17/Jul/2022:16:37:05 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 3205
